ID_Date,ID_Place,ID_Mag,mag,depth,dmin
Date_0470,Place_0470,mb,4.3,12.6,175.362
Date_0471,Place_0471,mb,4.3,195.27,171.47
Date_0472,Place_0472,mb,3.8,21.1,74.949
Date_0473,Place_0473,mb,4.2,81.06,51.374
Date_0474,Place_0474,mb,4.4,253.41,220.065
Date_0475,Place_0475,mb,4.5,237.74,159.016
Date_0476,Place_0476,mb,4.5,110.9,66.942
Date_0477,Place_0477,mb,4.9,214.88,169.135
Date_0478,Place_0478,mb,4.0,117.0,84.29
Date_0479,Place_0479,mb,4.0,126.04,103.638
Date_0480,Place_0480,mwr,4.4,174.0,186.038
Date_0481,Place_0481,mb,4.4,184.2,191.709
Date_0482,Place_0482,mb,4.5,117.94,238.969
Date_0483,Place_0483,mb,4.3,212.98,130.771
Date_0484,Place_0484,mb,4.5,10.0,30.691
Date_0485,Place_0485,mb,4.4,213.52,170.136
Date_0486,Place_0486,ml,3.4,24.2,80.509
Date_0487,Place_0487,mb,4.4,66.47,39.81
Date_0488,Place_0488,mwr,4.3,109.53,117.983
Date_0489,Place_0489,mb,4.2,242.47,280.78
Date_0490,Place_0490,mb,3.9,123.39,77.84
Date_0491,Place_0491,mb,4.3,110.5,126.879
Date_0492,Place_0492,mwr,4.5,129.85,100.858
Date_0493,Place_0493,mb,4.6,213.13,186.927
Date_0494,Place_0494,mwr,4.5,95.99,18.904
Date_0495,Place_0495,mb,4.3,10.0,28.356
Date_0496,Place_0496,mwr,4.0,29.59,106.53
Date_0497,Place_0497,mwr,4.6,19.03,111.2
Date_0498,Place_0498,mb,4.2,10.0,109.087
Date_0499,Place_0499,mwr,4.6,28.89,18.904
Date_0500,Place_0500,mb,4.7,237.03,153.79
Date_0501,Place_0501,mwr,4.9,72.28,17.57
Date_0502,Place_0502,mwr,4.1,31.52,42.923
Date_0503,Place_0503,mb,4.3,53.85,40.588
Date_0504,Place_0504,mb,4.2,263.78,182.479
Date_0505,Place_0505,mb,4.5,123.76,287.118
Date_0506,Place_0506,mb,4.4,115.85,77.395
Date_0507,Place_0507,mb,4.4,184.27,167.69
